ID,Language_ID,Parameter_ID,Lemma_ID,Gloss_ID,Tag_ID,Form,Segments,Comment,Source
79,2,20,,,,aiwotaːtes,ai w o t aː t e s,,
80,1,21,21,,17,aevum,ae v u m,,
81,1,21,21,,18,aeviː,ae v iː,,
82,2,21,,,,aiwom,ai w o m,,
83,2,21,,,,aiwiː,ai w iː,,
84,1,22,22,5,9,aeːnus,a eː n u s,,
85,1,22,22,5,10,aeːniː,a eː n iː,,
86,2,22,,5,,aeznos,a e z n o s,,
87,2,22,,5,,ajesnos,a j e s n o s,,
88,2,22,,5,,aezniː,a e z n iː,,
89,2,22,,5,,ajesniː,a j e s n iː,,
90,1,23,23,6,19,affectoː,a f f e c t oː,,
91,1,23,23,6,20,affectat,a f f e c t a t,,
92,2,23,,6,,adfaktajoː,a d f a k t a j oː,,
93,2,23,,6,,adfaktajeti,a d f a k t a j e t i,,
94,1,24,24,,1,afficioː,a f f i c i oː,,
95,1,24,24,,2,afficit,a f f i c i t,,
96,2,24,,,,adfakjoː,a d f a k j oː,,
97,2,24,,,,adfakjeti,a d f a k j e t i,,
98,1,25,25,,21,ager,a g e r,,
99,1,25,25,,22,agriː,a g r iː,,
100,2,25,,,,agros,a g r o s,,
101,2,25,,,,agriː,a g r iː,,
102,1,26,26,,23,agilis,a g i l i s,,
103,1,26,26,,24,agilis,a g i l i s,,
104,2,26,,,,agelis,a g e l i s,,
105,2,26,,,,ageles,a g e l e s,,
106,1,27,27,,3,agilitaːs,a g i l i t aː s,,
107,1,27,27,,4,agilitaːtis,a g i l i t aː t i s,,
108,2,27,,,,agelitaːts,a g e l i t aː t s,,
109,2,27,,,,agelitaːtes,a g e l i t aː t e s,,
110,1,28,28,,21,aŋnus,a ŋ n u s,,
111,1,28,28,,22,aŋniː,a ŋ n iː,,
112,2,28,,,,agʷnos,a gʷ n o s,,
113,2,28,,,,agʷniː,a gʷ n iː,,
114,1,29,29,,1,agoː,a g oː,,
115,1,29,29,,2,agit,a g i t,,
116,2,29,,,,agoː,a g oː,,
117,2,29,,,,ageti,a g e t i,,
118,1,30,29,,25,actus,a c t u s,,
119,1,30,29,,26,actiː,a c t iː,,
120,2,30,,,,agtos,a g t o s,,
121,2,30,,,,agtiː,a g t iː,,
122,1,31,30,,27,aioː,a i oː,,
123,1,31,30,,28,ait,a i t,,
124,2,31,,,,agjoː,a g j oː,,
125,2,31,,,,agjeti,a g j e t i,,
126,1,32,31,,9,albus,a l b u s,,
127,1,32,31,,10,albiː,a l b iː,,
128,2,32,,,,alβos,a l β o s,,
129,2,32,,,,alβiː,a l β iː,,
130,1,33,32,,29,aliorsum,a l i o r s u m,,
131,2,33,,,,aljoworssom,a l j o w o r s s o m,,
132,1,34,33,7,30,alius,a l i u s,,
133,2,34,,7,,aljos,a l j o s,,
134,1,35,34,,31,alnus,a l n u s,,
135,2,35,,,,alznos,a l z n o s,,
136,1,36,35,,1,aloː,a l oː,,
137,1,36,35,,2,alit,a l i t,,
138,2,36,,,,aloː,a l oː,,
139,2,36,,,,aleti,a l e t i,,
140,1,37,36,,9,altus,a l t u s,,
141,1,37,36,,10,altiː,a l t iː,,
142,2,37,,,,altos,a l t o s,,
143,2,37,,,,altiː,a l t iː,,
144,1,38,37,,9,alumnus,a l u m n u s,,
145,1,38,37,,10,alumniː,a l u m n iː,,
146,2,38,,,,alomanos,a l o m a n o s,,
147,2,38,,,,alomaniː,a l o m a n iː,,
148,1,39,38,8,31,alvus,a l v u s,,
149,1,39,38,8,32,auliː,au l iː,,
150,2,39,,8,,aulos,au l o s,,
151,2,39,,8,,auliː,au l iː,,
152,1,40,39,,5,amor,a m o r,,
153,1,40,39,,6,amoːris,a m oː r i s,,
154,2,40,,,,amoːs,a m oː s,,
155,2,40,,,,amoːses,a m oː s e s,,
156,1,41,40,,19,amtruoː,a m t r u oː,,
157,1,41,40,,20,amtruat,a m t r u a t,,
158,2,41,,,,amβidrewaːjoː,a m β i d r e w aː j oː,,
159,2,41,,,,amβidrewaːjeti,a m β i d r e w aː j e t i,,
160,1,42,41,,33,an,a n,,
161,2,42,,,,an,a n,,
162,1,43,42,,3,anas,a n a s,,
163,1,43,42,,4,anatis,a n a t i s,,
164,2,43,,,,anats,a n a t s,,
165,2,43,,,,anates,a n a t e s,,
166,1,44,43,9,13,anciːle,a n c iː l e,,
167,1,44,43,9,14,anciːlis,a n c iː l i s,,
168,2,44,,9,,amβikaidzli,a m β i k ai d z l i,,
169,2,44,,9,,amβikaidzles,a m β i k ai d z l e s,,
170,1,45,44,,21,anculus,a n c u l u s,,
171,1,45,44,,22,anculiː,a n c u l iː,,
172,2,45,,,,amβikʷolos,a m β i kʷ o l o s,,
173,2,45,,,,amβikʷoliː,a m β i kʷ o l iː,,
174,1,46,45,,1,aŋgoː,a ŋ g oː,,
175,1,46,45,,2,aŋgit,a ŋ g i t,,
176,2,46,,,,anɣoː,a n ɣ oː,,
177,2,46,,,,anɣeti,a n ɣ e t i,,
178,1,47,46,,21,animus,a n i m u s,,
179,1,47,46,,22,animiː,a n i m iː,,
180,2,47,,,,anamos,a n a m o s,,
181,2,47,,,,anamiː,a n a m iː,,
182,1,48,47,10,34,annoːna,a n n oː n a,,
183,1,48,47,10,35,annoːnae,a n n oː n ae,,
184,2,48,,10,,atnoznaː,a t n o z n aː,,
185,2,48,,10,,atnoznaːiː,a t n o z n aː iː,,
186,1,49,48,,21,annus,a n n u s,,
187,1,49,48,,22,anniː,a n n iː,,
188,2,49,,,,atnos,a t n o s,,
189,2,49,,,,atniː,a t n iː,,
190,1,50,49,,34,antenna,a n t e n n a,,
191,1,50,49,,35,antennae,a n t e n n ae,,
192,2,50,,,,antitempnaː,a n t i t e m p n aː,,
193,2,50,,,,antitempnaːiː,a n t i t e m p n aː iː,,
194,1,51,50,,9,antiːquus,a n t iː qu u s,,
195,1,51,50,,10,antiːquiː,a n t iː qu iː,,
196,2,51,,,,antiːkʷos,a n t iː kʷ o s,,
197,2,51,,,,antiːkʷiː,a n t iː kʷ iː,,
198,1,52,51,,21,aper,a p e r,,
199,1,52,51,,22,apriː,a p r iː,,
200,2,52,,,,apros,a p r o s,,
201,2,52,,,,apriː,a p r iː,,
202,1,53,52,,9,aptus,a p t u s,,
203,1,53,52,,10,aptiː,a p t iː,,
204,2,53,,,,aptos,a p t o s,,
205,2,53,,,,aptiː,a p t iː,,
206,1,54,53,,34,aqua,a qu a,,
207,1,54,53,,35,aquae,a qu ae,,
208,2,54,,,,akʷaː,a kʷ aː,,
209,2,54,,,,akʷaːiː,a kʷ aː iː,,
210,1,55,54,,3,arbor,a r b o r,,
211,1,55,54,,4,arboris,a r b o r i s,,
212,2,55,,,,arðoːs,a r ð oː s,,
213,2,55,,,,arðozes,a r ð o z e s,,
214,1,56,55,,7,arceoː,a r c e oː,,
215,1,56,55,,8,arcet,a r c e t,,
216,2,56,,,,arkejoː,a r k e j oː,,
217,2,56,,,,arkeːjeti,a r k eː j e t i,,
218,1,57,56,,9,arduus,a r d u u s,,
219,1,57,56,,10,arduiː,a r d u iː,,
220,2,57,,,,arðwos,a r ð w o s,,
221,2,57,,,,arðwiː,a r ð w iː,,
222,1,58,57,,17,argentum,a r g e n t u m,,
223,1,58,57,,18,argentiː,a r g e n t iː,,
224,2,58,,,,argentom,a r g e n t o m,,
225,2,58,,,,argentiː,a r g e n t iː,,
226,1,59,58,,19,aroː,a r oː,,
227,1,59,58,,20,arat,a r a t,,
228,2,59,,,,araːjoː,a r aː j oː,,
229,2,59,,,,araːjeti,a r aː j e t i,,
230,1,60,59,,3,ars,a r s,,
231,1,60,59,,4,artis,a r t i s,,
232,2,60,,,,artis,a r t i s,,
233,2,60,,,,artes,a r t e s,,
234,1,61,60,,25,assus,a s s u s,,
235,1,61,60,,26,assiː,a s s iː,,
236,2,61,,,,adtos,a d t o s,,
237,2,61,,,,adtiː,a d t iː,,
238,1,62,61,,5,auceps,au c e p s,,
239,1,62,61,,6,aucupis,au c u p i s,,
240,2,62,,,,awikaps,a w i k a p s,,
241,2,62,,,,awikapes,a w i k a p e s,,
242,1,63,62,,25,auctus,au c t u s,,
243,1,63,62,,26,auctiː,au c t iː,,
244,2,63,,,,augtos,au g t o s,,
245,2,63,,,,augtiː,au g t iː,,
246,1,64,63,,7,audeoː,au d e oː,,
247,1,64,63,,8,audet,au d e t,,
248,2,64,,,,awideːoː,a w i d eː oː,,
249,2,64,,,,awideːeti,a w i d eː e t i,,
250,1,65,64,,36,audioː,au d i oː,,
251,1,65,64,,37,audit,au d i t,,
252,2,65,,,,awizdjoː,a w i z d j oː,,
253,2,65,,,,awizdjeti,a w i z d j e t i,,
254,1,66,62,,7,augeoː,au g e oː,,
255,1,66,62,,8,auget,au g e t,,
256,2,66,,,,augejoː,au g e j oː,,
257,2,66,,,,augejeti,au g e j e t i,,
258,1,67,65,11,34,auroːra,au r oː r a,,
259,1,67,65,11,35,auroːrae,au r oː r ae,,
260,2,67,,11,,auzoːs,au z oː s,,
261,2,67,,11,,auzoːsaːiː,au z oː s aː iː,,
262,1,68,66,,17,aurum,au r u m,,
263,1,68,66,,18,auriː,au r iː,,
264,2,68,,,,auzom,au z o m,,
265,2,68,,,,auziː,au z iː,,
266,1,69,67,,33,aut,au t,,
267,2,69,,,,auti,au t i,,
268,1,70,62,,38,auxiː,au x iː,,
269,2,70,,,,augsai,au g s ai,,
270,1,71,68,,7,aveoː,a v e oː,,
271,1,71,68,,8,avet,a v e t,,
272,2,71,,,,aweːjoː,a w eː j oː,,
273,2,71,,,,aweːjeti,a w eː j e t i,,
274,1,72,69,,9,avidus,a v i d u s,,
275,1,72,69,,10,avidiː,a v i d iː,,
276,2,72,,,,awiðos,a w i ð o s,,
277,2,72,,,,awiðiː,a w i ð iː,,
278,1,73,70,12,3,avis,a v i s,,
279,1,73,70,12,4,avis,a v i s,,
280,2,73,,12,,awis,a w i s,,
281,2,73,,12,,awojs,a w o j s,,
282,1,74,71,,21,avus,a v u s,,
283,1,74,71,,22,aviː,a v iː,,
284,2,74,,,,awos,a w o s,,
285,2,74,,,,awiː,a w iː,,
286,1,75,72,,5,axis,a x i s,,
287,1,75,72,,6,axis,a x i s,,
288,2,75,,,,aksis,a k s i s,,
289,2,75,,,,akses,a k s e s,,
290,1,76,73,,39,aːcer,aː c e r,,
291,1,76,73,,40,aːcris,aː c r i s,,
292,2,76,,,,akris,a k r i s,,
293,2,76,,,,akres,a k r e s,,
294,1,77,74,,17,aːlium,aː l i u m,,
295,1,77,74,,18,aːliː,aː l iː,,
296,2,77,,,,aːljom,aː l j o m,,
297,2,77,,,,aːliː,aː l iː,,
298,1,78,75,13,5,aːnser,aː n s e r,,
299,1,78,75,13,6,aːnseris,aː n s e r i s,,
300,2,78,,13,,haːns,h aː n s,,
301,2,78,,13,,haːnseres,h aː n s e r e s,,
302,1,79,76,,34,aːra,aː r a,,
303,1,79,76,,35,aːrae,aː r ae,,
304,2,79,,,,aːzaː,aː z aː,,
305,2,79,,,,aːzaːiː,aː z aː iː,,
306,1,80,77,,7,aːrdeoː,aː r d e oː,,
307,1,80,77,,8,aːrdet,aː r d e t,,
308,2,80,,,,aːzideːjoː,aː z i d eː j oː,,
309,2,80,,,,aːzideːjeti,aː z i d eː j e t i,,
310,1,81,77,,9,aːrsus,aː r s u s,,
311,1,81,77,,10,aːrsiː,aː r s iː,,
312,2,81,,,,aːrdtos,aː r d t o s,,
313,2,81,,,,aːrdtiː,aː r d t iː,,
314,1,82,78,,34,aːrea,aː r e a,,
315,1,82,78,,35,aːrea,aː r e a,,
316,2,82,,,,aːzeaː,aː z e aː,,
317,2,82,,,,aːreaː,aː r e aː,,
318,2,82,,,,aːzeaːiː,aː z e aː iː,,
319,2,82,,,,aːreaːiː,aː r e aː iː,,
320,1,83,79,,7,aːreoː,aː r e oː,,
321,1,83,79,,8,aret,a r e t,,
322,2,83,,,,aːzeːjoː,aː z eː j oː,,
323,2,83,,,,aːzeːjeti,aː z eː j e t i,,
324,1,84,80,,3,aːriditaːs,aː r i d i t aː s,,
325,1,84,80,,4,aːriditaːtis,aː r i d i t aː t i s,,
326,2,84,,,,aːzidetaːts,aː z i d e t aː t s,,
327,2,84,,,,aːzidetaːtess,aː z i d e t aː t e s s,,
328,1,85,81,,9,aːridus,aː r i d u s,,
329,1,85,81,,10,aːridiː,aː r i d iː,,
330,2,85,,,,aːzidos,aː z i d o s,,
331,2,85,,,,aːzidiː,aː z i d iː,,
332,1,86,82,,9,aːter,aː t e r,,
333,1,86,82,,10,aːtriː,aː t r iː,,
334,2,86,,,,aːtros,aː t r o s,,
335,2,86,,,,aːtriː,aː t r iː,,
336,1,87,83,,34,barba,b a r b a,,
337,1,87,83,,35,barbae,b a r b ae,,
338,2,87,,,,farβaː,f a r β aː,,
339,2,87,,,,farβaːiː,f a r β aː iː,,
340,1,88,84,,9,barbaːtus,b a r b aː t u s,,
341,1,88,84,,10,barbaːtiː,b a r b aː t iː,,
342,2,88,,,,farβaːtos,f a r β aː t o s,,
343,2,88,,,,farβaːtiː,f a r β aː t iː,,
344,1,89,85,14,9,beniŋnus,b e n i ŋ n u s,,
345,1,89,85,14,10,beniŋniː,b e n i ŋ n iː,,
346,2,89,,14,,dwenignos,d w e n i g n o s,,
347,2,89,,14,,dwenigniː,d w e n i g n iː,,
348,1,90,86,,19,beoː,b e oː,,
349,1,90,86,,20,beat,b e a t,,
350,2,90,,,,dweaːjoː,d w e aː j oː,,
351,2,90,,,,dweaːjeti,d w e aː j e t i,,
352,1,91,87,15,1,biboː,b i b oː,,
353,1,91,87,15,2,bibit,b i b i t,,
354,2,91,,15,,piboː,p i b oː,,
355,2,91,,15,,pibeti,p i b e t i,,
356,1,92,88,,9,bonus,b o n u s,,
357,1,92,88,,10,boniː,b o n iː,,
358,2,92,,,,dwenos,d w e n o s,,
359,2,92,,,,dweniː,d w e n iː,,
360,1,93,89,16,41,boːs,b oː s,,
361,1,93,89,16,42,bovis,b o v i s,,
362,2,93,,16,,gʷoːs,gʷ oː s,,
363,2,93,,16,,gʷowes,gʷ o w e s,,
364,1,94,90,,23,brevis,b r e v i s,,
365,1,94,90,,24,brevis,b r e v i s,,
366,2,94,,,,breɣʷis,b r e ɣʷ i s,,
367,2,94,,,,breɣʷes,b r e ɣʷ e s,,
368,1,95,91,17,9,bruːtus,b r uː t u s,,
369,1,95,91,17,10,bruːtiː,b r uː t iː,,
370,2,95,,17,,gʷruːtos,gʷ r uː t o s,,
371,2,95,,17,,gʷruːtiː,gʷ r uː t iː,,
372,1,96,92,,1,cadoː,c a d oː,,
373,1,96,92,,2,cadit,c a d i t,,
374,2,96,,,,kadoː,k a d oː,,
375,2,96,,,,kadeti,k a d e t i,,
376,1,97,93,,9,caecus,c ae c u s,,
377,1,97,93,,10,caeciː,c ae c iː,,
378,2,97,,,,kaikos,k ai k o s,,
379,2,97,,,,kaikiː,k ai k iː,,
380,1,98,94,,1,caedoː,c ae d oː,,
381,1,98,94,,2,caedit,c ae d i t,,
382,2,98,,,,kaidoː,k ai d oː,,
383,2,98,,,,kaideti,k ai d e t i,,
384,1,99,95,,17,caelum,c ae l u m,,
385,1,99,95,,18,caeliː,c ae l iː,,
386,2,99,,,,kailom,k ai l o m,,
387,2,99,,,,kailiː,k ai l iː,,
388,1,100,96,,17,caelum,c ae l u m,,
389,1,100,96,,18,caeliː,c ae l iː,,
390,2,100,,,,kaidslom,k ai d s l o m,,
391,2,100,,,,kaidlom,k ai d l o m,,
392,2,100,,,,kaidsliː,k ai d s l iː,,
393,2,100,,,,kaidliː,k ai d l iː,,
394,1,101,97,,17,caementum,c ae m e n t u m,,
395,1,101,97,,18,caementiː,c ae m e n t iː,,
396,2,101,,,,kaidmentom,k ai d m e n t o m,,
397,2,101,,,,kaidmentiː,k ai d m e n t iː,,
398,1,102,98,,7,caleoː,c a l e oː,,
399,1,102,98,,8,calet,c a l e t,,
400,2,102,,,,kaleːoː,k a l eː oː,,
401,2,102,,,,kaleːeti,k a l eː e t i,,
402,1,103,99,18,19,caloː,c a l oː,,
403,1,103,99,18,20,calat,c a l a t,,
404,2,103,,18,,kaloː,k a l oː,,
405,2,103,,18,,kalati,k a l a t i,,
406,1,104,100,,34,calumnia,c a l u m n i a,,
407,1,104,100,,35,calumniae,c a l u m n i ae,,
408,2,104,,,,kalwomniaː,k a l w o m n i aː,,
409,2,104,,,,kalwomniaːiː,k a l w o m n i aː iː,,
410,1,105,101,,34,calva,c a l v a,,
411,1,105,101,,35,calvae,c a l v ae,,
412,2,105,,,,kalowaː,k a l o w aː,,
413,2,105,,,,kalowaːiː,k a l o w aː iː,,
414,1,106,102,,43,calvor,c a l v o r,,
415,1,106,102,,44,calvitur,c a l v i t u r,,
416,2,106,,,,kalwoːr,k a l w oː r,,
417,2,106,,,,kalwetor,k a l w e t o r,,
418,1,107,103,,9,calvus,c a l v u s,,
419,1,107,103,,10,calviː,c a l v iː,,
420,2,107,,,,kalowos,k a l o w o s,,
421,2,107,,,,kalowiː,k a l o w iː,,
422,1,108,104,,9,camur,c a m u r,,
423,1,108,104,,10,cameriː,c a m e r iː,,
424,2,108,,,,kameros,k a m e r o s,,
425,2,108,,,,kameriː,k a m e r iː,,
426,1,109,105,19,5,cancer,c a n c e r,,
427,2,109,,19,,kankros,k a n k r o s,,
428,2,109,,19,,karkros,k a r k r o s,,
429,1,110,106,,7,candeoː,c a n d e oː,,
430,1,110,106,,8,candet,c a n d e t,,
431,2,110,,,,kandeːoː,k a n d eː oː,,
432,2,110,,,,kandeːeti,k a n d eː e t i,,
433,1,111,107,,1,canoː,c a n oː,,
434,1,111,107,,2,canit,c a n i t,,
435,2,111,,,,kanoː,k a n oː,,
436,2,111,,,,kaneti,k a n e t i,,
437,1,112,108,,21,caper,c a p e r,,
438,1,112,108,,22,capriː,c a p r iː,,
439,2,112,,,,kapros,k a p r o s,,
440,2,112,,,,kapriː,k a p r iː,,
441,1,113,109,,1,capioː,c a p i oː,,
442,1,113,109,,2,capit,c a p i t,,
443,2,113,,,,kapjoː,k a p j oː,,
444,2,113,,,,kapjeti,k a p j e t i,,
445,1,114,110,,13,caput,c a p u t,,
446,1,114,110,,14,capitis,c a p i t i s,,
447,2,114,,,,kaput,k a p u t,,
448,2,114,,,,kaputes,k a p u t e s,,
449,1,115,111,,21,carcer,c a r c e r,,
450,1,115,111,,22,carcriː,c a r c r iː,,
451,2,115,,,,karkros,k a r k r o s,,
452,2,115,,,,karkriː,k a r k r iː,,
453,1,116,112,,7,careoː,c a r e oː,,
454,1,116,112,,8,caret,c a r e t,,
455,2,116,,,,kazeːoː,k a z eː oː,,
456,2,116,,,,kazeːeti,k a z eː e t i,,
457,1,117,113,,13,carmen,c a r m e n,,
458,1,117,113,,14,carminis,c a r m i n i s,,
459,2,117,,,,kanmen,k a n m e n,,
460,2,117,,,,kanmenes,k a n m e n e s,,
461,1,118,114,20,3,caroː,c a r oː,,
462,1,118,114,20,4,carnis,c a r n i s,,
463,2,118,,20,,keroː,k e r oː,,
464,2,118,,20,,karenes,k a r e n e s,,
465,1,119,115,,1,carpoː,c a r p oː,,
466,1,119,115,,2,carpit,c a r p i t,,
467,2,119,,,,karpoː,k a r p oː,,
468,2,119,,,,karpeti,k a r p e t i,,
469,1,120,116,,9,cascus,c a s c u s,,
470,1,120,116,,10,casciː,c a s c iː,,
471,2,120,,,,kaskos,k a s k o s,,
472,2,120,,,,kaskiː,k a s k iː,,
473,1,121,117,,19,castroː,c a s t r oː,,
474,1,121,117,,20,castrat,c a s t r a t,,
475,2,121,,,,kastraːjoː,k a s t r aː j oː,,
476,2,121,,,,kastraːjeti,k a s t r aː j e t i,,
477,1,122,118,,17,castrum,c a s t r u m,,
478,1,122,118,,18,castriː,c a s t r iː,,
479,2,122,,,,kastrom,k a s t r o m,,
480,2,122,,,,kastriː,k a s t r iː,,
481,1,123,119,21,34,catervaː,c a t e r v aː,,
482,1,123,119,21,35,catervae,c a t e r v ae,,
483,2,123,,21,,kateswaː,k a t e s w aː,,
484,2,123,,21,,kateswaːiː,k a t e s w aː iː,,
485,1,124,120,,34,cateːna,c a t eː n a,,
486,1,124,120,,35,cateːnae,c a t eː n ae,,
487,2,124,,,,kateznaː,k a t e z n aː,,
488,2,124,,,,kateznaːiː,k a t e z n aː iː,,
489,1,125,121,,21,catiːnus,c a t iː n u s,,
490,1,125,121,,22,catiːniː,c a t iː n iː,,
491,2,125,,,,katiːnos,k a t iː n o s,,
492,2,125,,,,katiːniː,k a t iː n iː,,
493,1,126,122,,21,catulus,c a t u l u s,,
494,1,126,122,,22,catuliː,c a t u l iː,,
495,2,126,,,,katelos,k a t e l o s,,
496,2,126,,,,kateliː,k a t e l iː,,
497,1,127,123,,9,catus,c a t u s,,
498,1,127,123,,10,catiː,c a t iː,,
499,2,127,,,,katos,k a t o s,,
500,2,127,,,,katiː,k a t iː,,
501,1,128,124,,34,cauda,c au d a,,
502,1,128,124,,35,caudae,c au d ae,,
503,2,128,,,,kaudaː,k au d aː,,
504,2,128,,,,kaudaːiː,k au d aː iː,,
505,1,129,125,22,34,caula,c au l a,,
506,1,129,125,22,35,caulae,c au l ae,,
507,2,129,,22,,kaɣela,k a ɣ e l a,,
508,2,129,,22,,kaɣelaːiː,k a ɣ e l aː iː,,
509,1,130,126,,21,caurus,c au r u s,,
510,1,130,126,,22,cauriː,c au r iː,,
511,2,130,,,,kaweros,k a w e r o s,,
512,2,130,,,,kauweriː,k au w e r iː,,
513,1,131,127,23,34,causa,c au s a,,
514,1,131,127,23,35,causae,c au s ae,,
515,2,131,,23,,kaussaː,k au s s aː,,
516,2,131,,23,,kaussaːiː,k au s s aː iː,,
517,1,132,128,24,7,caveoː,c a v e oː,,
518,1,132,128,24,8,cavet,c a v e t,,
519,2,132,,24,,kaweːjoː,k a w eː j oː,,
520,2,132,,24,,kaweːjeti,k a w eː j e t i,,
521,1,133,129,,19,cavoː,c a v oː,,
522,1,133,129,,20,cavat,c a v a t,,
523,2,133,,,,kawaːjoː,k a w aː j oː,,
524,2,133,,,,kawaːjetiː,k a w aː j e t iː,,
525,1,134,130,,9,cavus,c a v u s,,
526,1,134,130,,10,caviː,c a v iː,,
527,2,134,,,,kawos,k a w o s,,
528,2,134,,,,kawiː,k a w iː,,
529,1,135,131,,9,caːnus,c aː n u s,,
530,1,135,131,,10,caːniː,c aː n iː,,
531,2,135,,,,kaznos,k a z n o s,,
532,2,135,,,,kazniː,k a z n iː,,
533,1,136,132,,9,caːrus,c aː r u s,,
534,1,136,132,,10,caːriː,c aː r iː,,
535,2,136,,,,kaːros,k aː r o s,,
536,2,136,,,,kaːriː,k aː r iː,,
537,1,137,133,25,45,cedo,c e d o,,
538,2,137,,25,,kedoː,k e d oː,,
539,1,138,134,,39,celeber,c e l e b e r,,
540,1,138,134,,40,celebris,c e l e b r i s,,
541,2,138,,,,kelizris,k e l i z r i s,,
542,2,138,,,,kelizres,k e l i z r e s,,
543,1,139,135,,46,centum,c e n t u m,,
544,2,139,,,,kentom,k e n t o m,,
545,1,140,136,,17,cerebrum,c e r e b r u m,,
546,1,140,136,,18,cerebriː,c e r e b r iː,,
547,2,140,,,,kerazrom,k e r a z r o m,,
548,2,140,,,,kerazriː,k e r a z r iː,,
549,1,141,137,,1,cernoː,c e r n oː,,
550,1,141,137,,2,cernit,c e r n i t,,
551,2,141,,,,krinoː,k r i n oː,,
552,2,141,,,,krineti,k r i n e t i,,
553,1,142,133,,47,cette,c e t t e,,
554,2,142,,,,kedate,k e d a t e,,
555,1,143,138,,29,ceu,c eu,,
556,2,143,,,,keiwe,k ei w e,,
557,1,144,139,,1,ceːdoː,c eː d oː,,
558,1,144,139,,2,ceːdit,c eː d i t,,
559,2,144,,,,kezdoː,k e z d oː,,
