ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
1686,1685,832,,,wiktionary2017
1687,1687,832,,,wiktionary2017
1688,1688,833,,,wiktionary2017
1689,1690,833,,,wiktionary2017
1690,1689,834,,,wiktionary2017
1691,1691,834,,,wiktionary2017
1692,1692,835,,,wiktionary2017
1693,1694,835,,,wiktionary2017
1694,1693,836,,,wiktionary2017
1695,1695,836,,,wiktionary2017
1696,1696,837,,,deVaan2008
1697,1698,837,,,deVaan2008
1698,1697,838,,,deVaan2008
1699,1699,838,,,deVaan2008
1700,1700,839,,,deVaan2008
1701,1702,839,,,deVaan2008
1702,1701,840,,,deVaan2008
1703,1703,840,,,deVaan2008
1704,1704,841,,,wiktionary2017
1705,1706,841,,,wiktionary2017
1706,1705,842,,,wiktionary2017
1707,1707,842,,,wiktionary2017
1708,1708,843,,,wiktionary2017
1709,1710,843,,,wiktionary2017
1710,1709,844,,,wiktionary2017
1711,1711,844,,,wiktionary2017
1712,1712,845,,,wiktionary2017
1713,1714,845,,,wiktionary2017
1714,1713,846,,,wiktionary2017
1715,1715,846,,,wiktionary2017
1716,1716,847,,,wiktionary2017
1717,1718,847,,,wiktionary2017
1718,1717,848,,,wiktionary2017
1719,1719,848,,,wiktionary2017
1720,1720,849,,,wiktionary2017
1721,1722,849,,,wiktionary2017
1722,1721,850,,,wiktionary2017
1723,1723,850,,,wiktionary2017
1724,1724,851,,,wiktionary2017
1725,1726,851,,,wiktionary2017
1726,1725,852,,,wiktionary2017
1727,1727,852,,,wiktionary2017
1728,1728,853,,,wiktionary2017
1729,1730,853,,,wiktionary2017
1730,1729,854,,,wiktionary2017
1731,1731,854,,,wiktionary2017
1732,1732,855,,,deVaan2008
1733,1734,855,,,deVaan2008
1734,1733,856,,,deVaan2008
1735,1735,856,,,deVaan2008
1736,1736,857,,,wiktionary2017
1737,1738,857,,,wiktionary2017
1738,1737,858,,,wiktionary2017
1739,1739,858,,,wiktionary2017
1740,1740,859,,,wiktionary2017
1741,1742,859,,,wiktionary2017
1742,1741,860,,,wiktionary2017
1743,1743,860,,,wiktionary2017
1744,1744,861,,,wiktionary2017
1745,1746,861,,,wiktionary2017
1746,1745,862,,,wiktionary2017
1747,1747,862,,,wiktionary2017
1748,1748,863,,,wiktionary2017
1749,1750,863,,,wiktionary2017
1750,1749,864,,,wiktionary2017
1751,1751,864,,,wiktionary2017
1752,1752,865,,,deVaan2008
1753,1754,865,,,deVaan2008
1754,1753,866,,,deVaan2008
1755,1755,866,,,deVaan2008
1756,1756,867,,,wiktionary2017
1757,1758,867,,,wiktionary2017
1758,1757,868,,,wiktionary2017
1759,1759,868,,,wiktionary2017
1760,1760,869,,,wiktionary2017
1761,1762,869,,,wiktionary2017
1762,1761,870,,,wiktionary2017
1763,1763,870,,,wiktionary2017
1764,1764,870,,,wiktionary2017
1765,1765,871,,,wiktionary2017
1766,1767,871,,,wiktionary2017
1767,1766,872,,,wiktionary2017
1768,1768,872,,,wiktionary2017
1769,1769,873,,,wiktionary2017
1770,1771,873,,,wiktionary2017
1771,1770,874,,,wiktionary2017
1772,1772,874,,,wiktionary2017
1773,1773,875,,,wiktionary2017
1774,1775,875,,,wiktionary2017
1775,1774,876,,,wiktionary2017
1776,1776,876,,,wiktionary2017
1777,1777,877,,,wiktionary2017
1778,1779,877,,,wiktionary2017
1779,1778,878,,,wiktionary2017
1780,1780,878,,,wiktionary2017
1781,1781,879,,,wiktionary2017
1782,1783,879,,,wiktionary2017
1783,1782,880,,,wiktionary2017
1784,1784,880,,,wiktionary2017
1785,1785,881,,,deVaan2008
1786,1787,881,,,deVaan2008
1787,1786,882,,,deVaan2008
1788,1788,882,,,deVaan2008
1789,1789,883,,,deVaan2008
1790,1791,883,,,deVaan2008
1791,1790,884,,,deVaan2008
1792,1792,884,,,deVaan2008
1793,1793,885,,,wiktionary2017
1794,1795,885,,,wiktionary2017
1795,1794,886,,,wiktionary2017
1796,1796,886,,,wiktionary2017
1797,1797,887,,,wiktionary2017
1798,1799,887,,,wiktionary2017
1799,1798,888,,,wiktionary2017
1800,1800,888,,,wiktionary2017
1801,1801,889,,,wiktionary2017
1802,1803,889,,,wiktionary2017
1803,1802,890,,,wiktionary2017
1804,1804,890,,,wiktionary2017
1805,1805,891,,,wiktionary2017
1806,1807,891,,,wiktionary2017
1807,1806,892,,,wiktionary2017
1808,1808,892,,,wiktionary2017
1809,1809,893,,,wiktionary2017
1810,1811,893,,,wiktionary2017
1811,1810,894,,,wiktionary2017
1812,1812,894,,,wiktionary2017
1813,1813,895,,,wiktionary2017
1814,1815,895,,,wiktionary2017
1815,1814,896,,,wiktionary2017
1816,1816,896,,,wiktionary2017
1817,1817,897,,,deVaan2008
1818,1819,897,,,deVaan2008
1819,1818,898,,,deVaan2008
1820,1820,898,,,deVaan2008
1821,1821,899,,,wiktionary2017
1822,1823,899,,,wiktionary2017
1823,1822,900,,,wiktionary2017
1824,1824,900,,,wiktionary2017
1825,1825,901,,,deVaan2008
1826,1827,901,,,deVaan2008
1827,1826,902,,,deVaan2008
1828,1828,902,,,deVaan2008
1829,1829,903,,,wiktionary2017
1830,1831,903,,,wiktionary2017
1831,1830,904,,,wiktionary2017
1832,1832,904,,,wiktionary2017
1833,1833,905,,,wiktionary2017
1834,1835,905,,,wiktionary2017
1835,1834,906,,,wiktionary2017
1836,1836,906,,,wiktionary2017
1837,1837,907,,,wiktionary2017
1838,1839,907,,,wiktionary2017
1839,1840,907,,,wiktionary2017
1840,1838,908,,,wiktionary2017
1841,1841,908,,,wiktionary2017
1842,1842,908,,,wiktionary2017
1843,1843,909,,,wiktionary2017
1844,1845,909,,,wiktionary2017
1845,1844,910,,,wiktionary2017
1846,1846,910,,,wiktionary2017
1847,1847,911,,,wiktionary2017
1848,1849,911,,,wiktionary2017
1849,1848,912,,,wiktionary2017
1850,1850,912,,,wiktionary2017
1851,1851,913,,,deVaan2008
1852,1853,913,,,deVaan2008
1853,1852,914,,,deVaan2008
1854,1854,914,,,deVaan2008
1855,1855,915,,,wiktionary2017
1856,1857,915,,,wiktionary2017
