ID,Name
803,olla
804,omen
805,opilio
806,ordo
807,os2
808,ovum
809,palatum
810,palea
811,palleo
812,palma
813,palus
814,pando
815,pango
816,parco
817,pario
818,paro
819,parra
820,pars
821,particeps
822,passer
823,passus
824,pateo
825,pater
826,patior
827,paucus
828,paulus
829,pauper
830,paveo
831,pavio
832,palor
833,panis
834,pareo
835,parricida
836,pasco
837,pax
838,pecco
839,pecten
840,pecto
841,pectus
842,pecu
843,pellis
844,pello
845,pendeo
846,pendo
847,penes
848,penna
849,penus
850,per
851,perdo
852,peregre
853,perfacilis
854,perficio
855,periculum
856,permultus
857,perna
858,perperus
859,pertica
860,pessum
861,peto
862,pedis
863,pedo
864,penis
865,pes
866,pingo
867,pigeo
868,piger
869,pignus
870,pilleus
871,pinna
872,piscis
873,pius
874,pix
875,pila1
876,pila2
877,pilum
878,placeo
879,planta
880,plaudo
881,plautus
882,placo
883,plaga
884,plango
885,planus
886,plecto
887,pleo
888,plebes
889,plenus
890,plerus
891,pleco
892,pluo
893,pluma
894,polio
895,polleo
896,pollen
897,pollingo
898,polluceo
899,polluo
900,pondus
901,pontifex
902,populus
903,porca
904,porcus
905,porgo
906,porta
907,porto
908,portus
909,posco
910,post
911,postis
912,postremus
913,postulo
914,potior
915,potis
916,poculum
917,pomum
918,pomus
919,pone
920,pono
921,pons
922,potus
923,prae
924,praeda
925,praeeo
926,praefero
927,praeficio
928,praes
929,praeses
930,praeter
931,praetor
932,prandium
933,pratum
934,pravus
935,prehendo
936,premo
937,pretium
938,prelum
939,princeps
940,privigna
941,privignus
942,privus
943,probo
944,probrum
945,probus
946,prosperus
947,prope
948,procerus
949,proficio
950,provincia
951,pruina
952,prurio
953,pudeo
954,puer
955,pulcher
956,pullus1
957,pullus2
958,pulpa
959,puls
960,pulvis
961,pugnus
962,pungo
963,pusillus
964,pumex
965,purgo
966,purus
967,pus
968,quaero
969,quaestus
970,quantus
971,quatio
972,quattuor
973,qualis
974,qualus
975,quercus
976,queror
977,quies
978,quietus
979,quinque
980,quintus
981,quot
982,rabio
983,raia
984,rapio
985,ratis
986,ravus
987,radix
988,rado
989,ramentum
990,ramus
991,rarus
992,rastrum
993,recens
994,reciprocus
995,reduco
996,reficio
997,rego
998,relinquo
999,removeo
1000,repens
1001,reor
1002,residuus
1003,restis
1004,retro
1005,reus
1006,rectus
1007,regina
1008,regulus
1009,remus
1010,ren
1011,repo
1012,res
1013,rete
1014,rex
1015,rigeo
1016,ringor
1017,rica
1018,rima
1019,ripa
1020,ritus
1021,rivo
1022,rivus
1023,rogo
1024,rota
1025,roto
1026,robus
1027,robur
1028,rodo
1029,ros
1030,rubeo
1031,ruber
1032,rubus
1033,rumpo
1034,russus
1035,ruo
1036,rufus
1037,ruga
1038,rumor
1039,rus
1040,rusticus
1041,sabulum
1042,sacer
1043,sacerdos
1044,saeculum
1045,saepes
1046,saevus
1047,saeta
1048,salebra
1049,salio
1050,salix
1051,salveo
1052,salvus
1053,sancio
1054,sanguen
1055,sapio
1056,sarcio
1057,sarpo
1058,sat
1059,saucius
1060,saxum
1061,sagio
1062,sal
1063,sanctio
1064,sanctus
1065,sanus
1066,sario
1067,scabellum
1068,scaber
1069,scabo
1070,scaevus
1071,scamnum
1072,scando
1073,scapula
1074,scala
1075,scelus
1076,scindo
1077,scio
1078,scortum
1079,scribo
1080,scrobis
1081,scrofa
1082,scutum
1083,seco
1084,secundus
1085,secus
1086,sedeo
1087,seges
1088,sella
1089,senex
1090,sentio
1091,sentina
1092,sepelio
1093,septem
1094,september
1095,sepultus
1096,sequor
1097,serenus
1098,sero1
1099,sero2
1100,serpo
1101,serra
1102,servo
1103,servus
1104,severus
1105,sex
1106,sexus
1107,sedo
1108,segnis
1109,semen
1110,semita
1111,serius
1112,serus
1113,setius
1114,siccus
1115,sileo
1116,signum
1117,similis
1118,simplex
1119,sincerus
1120,singulus
1121,singultus
1122,sinister
1123,sino
1124,sinus
1125,sisto
1126,sitis
1127,si
1128,sido
1129,sidus
1130,socer
1131,socius
1132,socrus
1133,sodalis
1134,soleo
1135,solidus
1136,solium
1137,sollus
1138,solum
1139,solvo
1140,somnus
1141,sono
1142,sopor
1143,sorbeo
1144,sordeo
1145,sordes
1146,soror
1147,sors
1148,sospes
1149,sobrius
1150,sobrinus
1151,sol
1152,solus
1153,sons
1154,spargo
1155,specio
1156,sperno
1157,spes
1158,spica
1159,spina
1160,spiro
1161,spissus
1162,sponda
1163,spondeo
1164,sponte
1165,spuo
1166,spurcus
1167,spuma
1168,stabulum
1169,stamen
1170,stercus
1171,sterno
1172,sternuo
1173,stella
1174,stinguo
1175,stilla
1176,stips
1177,stipula
1178,stipo
1179,stolo
1180,sto
1181,strepo
1182,stria
1183,stringo
1184,struo
1185,stultus
1186,stupeo
1187,sturnus
1188,suadeo
1189,suasum
1190,suavis
1191,sub
1192,subligaculum
1193,suesco
1194,suffio
1195,sulcus
1196,sulphur
1197,superus
1198,super
1199,supra
1200,surgo
1201,suo
1202,suppus
1203,suus
1204,sucus
1205,sudor
1206,sudus
1207,sugo
1208,sumen
1209,sus
1210,taberna
1211,tabula
1212,taceo
1213,tego
1214,taedeo
1215,taeter
1216,tango
1217,taurus
1218,taxillus
1219,tabeo
1220,talis
1221,talus
1222,tellus
1223,temere
1224,temno
1225,tempero
1226,templum
1227,tempus
1228,tendo
1229,tenebra
1230,teneo
1231,tener
1232,tenuis
1233,tenus1
1234,tenus2
1235,tepeo
1236,ter
1237,terebrum
1238,tergum
1239,termen
1240,terminus
1241,terra
1242,terreo
1243,testis
1244,texo
1245,tela
1246,telum
1247,temo
1248,tensa
1249,tigillum
1250,tignum
1251,tingo
1252,titio
1253,toga
1254,tolero
1255,tollo
1256,tondeo
1257,tono
1258,tormentum
1259,torpeo
1260,torqueo
1261,torreo
1262,torvus
1263,tot
1264,toles
1265,tomentum
1266,tonsilla
1267,totus
1268,trabs
1269,traho
1270,trans
1271,tremo
1272,tres
1273,tribus
1274,triceps
1275,triduum
1276,triquetrus
1277,tristis
1278,trudo
1279,trux
1280,tucca
1281,tudes
1282,tueor
1283,tum
1284,tumeo
1285,tundo
1286,turdus
1287,tuus
1288,tu
1289,ulciscor
1290,ulcus
1291,ulna
1292,ulmus
1293,ultra
1294,ulter
1295,umbilicus
1296,umbo
1297,umbra
1298,umerus
1299,ungo
1300,uncus
1301,unda
1302,unguen
1303,unguis
1304,ungula
1305,ungulus
1306,unguo
1307,urbs
1308,urgeo
1309,ursa
1310,ursus
1311,uter
1312,uterus
1313,uxor
1314,uber
1315,udus
1316,ullus
1317,umeo
1318,unus
1319,uro
1320,usque
1321,utor
1322,uva
1323,vacca
1324,vaco
1325,vacuus
1326,vadum
1327,vae
1328,vafer
1329,vagus
1330,valeo
1331,vallum
1332,vallus
1333,valva
1334,vannus
1335,vapor
1336,varus
1337,vas
1338,vado
1339,vagina
1340,vagio
1341,vanus
1342,vapulo
1343,vastus
1344,vates
1345,veho
1346,vegeo
1347,vehiculum
1348,vello
1349,veneror
1350,venenum
1351,venia
1352,venio
1353,venter
1354,ventus1
1355,ventus2
1356,venus
1357,venustus
1358,verbera
1359,verbum
1360,vereor
1361,vergo
1362,vermis
1363,verres
1364,verro
1365,verruca
1366,verto
1367,veru
1368,vespa
1369,vesper
1370,vester
1371,vestigium
1372,vestis
1373,veto
1374,vetus
1375,vetustus
1376,vexo
1377,velum
1378,vena
1379,venum
1380,venor
1381,ver
1382,verus
1383,vescor
1384,vexillum
1385,via
1386,vibro
1387,video
1388,viduus
1389,vieo
1390,vigeo
1391,vincio
1392,vinco
1393,violo
1394,vir
1395,vireo
1396,virga
1397,viridis
1398,vitium
1399,vitrum
1400,vitulus
1401,vix
1402,vicus
1403,viginti
1404,vilis
1405,villa
1406,vimen
1407,vimentum
1408,vinum
1409,vipera
1410,virus
